Avalanche Demonstration
Plaintext P: 1010101010101010101010101010101010101010101010101010101010101010
Plaintext P': 1010101010101010101010101010101010101010101010101010101010101011
Key K: 0110011001100110011001100110011001100110011001100110011001100110
Key K': 1110011001100110011001100110011001100110011001100110011001100110
Total running: 0.017(seconds)

P and P' under K
Ciphertext C: 1111111011000010111000100010011111111011101111111001101111100000
Ciphertext C': 1110110101010111101110100001010101111101101100011101001101101000
Round    DES0    DES1    DES2    DES3
    0      1      1      1      1
    1      1      1      1      1
    2      1      1      1      1
    3      7      8      2      6
    4     24     30      3     14
    5     40     43      3     22
    6     40     42      4     29
    7     32     36      5     32
    8     31     26      5     30
    9     35     29      4     28
   10     29     34      5     26
   11     28     29      7     27
   12     34     29      8     28
   13     32     36      7     27
   14     32     36      5     29
   15     32     33      4     27
   16     27     34      3     30

P under K and K'
Ciphertext C: 1111111011000010111000100010011111111011101111111001101111100000
Ciphertext C':0111100011111100100011001000101010001010100101000111011010011111
Round    DES0    DES1    DES2    DES3
    0      0      0      0      0
    1      0      0      0      0
    2      3      0      0      3
    3     17      0      0     10
    4     32      0      1     17
    5     32      0      3     25
    6     32      0      4     28
    7     33      0      5     29
    8     37      0      6     33
    9     36      0      7     38
   10     32      0     10     39
   11     37      0     11     34
   12     42      0      9     31
   13     38      0     10     30
   14     34      0     14     27
   15     36      0     14     29
   16     38      0     13     34
